origin,destination,airline,date,price,days_until_departure
AER,KZN,2B,2025-05-18,447,-1
ASF,KZN,2B,2025-05-18,180,-1
ASF,MRV,2B,2025-05-18,851,-1
CEK,KZN,2B,2025-05-18,839,-1
CEK,OVB,2B,2025-05-18,304,-1
DME,KZN,2B,2025-05-18,508,-1
DME,NBC,2B,2025-05-18,847,-1
DME,TGK,2B,2025-05-18,390,-1
DME,UUA,2B,2025-05-18,454,-1
EGO,KGD,2B,2025-05-18,684,-1
EGO,KZN,2B,2025-05-18,1106,-1
GYD,NBC,2B,2025-05-18,597,-1
KGD,EGO,2B,2025-05-18,696,-1
KZN,AER,2B,2025-05-18,1135,-1
KZN,ASF,2B,2025-05-18,612,-1
KZN,CEK,2B,2025-05-18,1027,-1
KZN,DME,2B,2025-05-18,684,-1
KZN,EGO,2B,2025-05-18,344,-1
KZN,LED,2B,2025-05-18,705,-1
KZN,SVX,2B,2025-05-18,228,-1
LED,KZN,2B,2025-05-18,1159,-1
LED,NBC,2B,2025-05-18,1081,-1
LED,UUA,2B,2025-05-18,304,-1
MRV,ASF,2B,2025-05-18,347,-1
NBC,DME,2B,2025-05-18,997,-1
NBC,GYD,2B,2025-05-18,988,-1
NBC,LED,2B,2025-05-18,111,-1
NBC,SVX,2B,2025-05-18,714,-1
NJC,SVX,2B,2025-05-18,131,-1
NJC,UUA,2B,2025-05-18,361,-1
NUX,SVX,2B,2025-05-18,1042,-1
OVB,CEK,2B,2025-05-18,543,-1
OVB,SVX,2B,2025-05-18,709,-1
SVX,KZN,2B,2025-05-18,1115,-1
SVX,NBC,2B,2025-05-18,915,-1
SVX,NJC,2B,2025-05-18,1105,-1
SVX,NUX,2B,2025-05-18,726,-1
SVX,OVB,2B,2025-05-18,588,-1
TGK,DME,2B,2025-05-18,623,-1
UUA,DME,2B,2025-05-18,1138,-1
UUA,LED,2B,2025-05-18,1069,-1
UUA,NJC,2B,2025-05-18,948,-1
BTK,IKT,2G,2025-05-18,1087,-1
BTK,OVB,2G,2025-05-18,977,-1
CEK,OVB,2G,2025-05-18,343,-1
HTA,IKT,2G,2025-05-18,749,-1
IKT,BTK,2G,2025-05-18,974,-1
IKT,HTA,2G,2025-05-18,882,-1
IKT,KCK,2G,2025-05-18,683,-1
IKT,ODO,2G,2025-05-18,130,-1
IKT,OVB,2G,2025-05-18,108,-1
IKT,UKX,2G,2025-05-18,864,-1
IKT,ULK,2G,2025-05-18,1119,-1
IKT,YKS,2G,2025-05-18,917,-1
KCK,IKT,2G,2025-05-18,324,-1
MJZ,OVB,2G,2025-05-18,543,-1
ODO,IKT,2G,2025-05-18,1003,-1
OVB,BTK,2G,2025-05-18,585,-1
OVB,CEK,2G,2025-05-18,889,-1
OVB,IKT,2G,2025-05-18,745,-1
UKX,IKT,2G,2025-05-18,516,-1
ULK,IKT,2G,2025-05-18,309,-1
YKS,IKT,2G,2025-05-18,615,-1
AYP,LIM,2I,2025-05-18,966,-1
CUZ,LIM,2I,2025-05-18,342,-1
CUZ,PEM,2I,2025-05-18,340,-1
HUU,LIM,2I,2025-05-18,159,-1
IQT,PCL,2I,2025-05-18,717,-1
IQT,TPP,2I,2025-05-18,507,-1
LIM,AYP,2I,2025-05-18,599,-1
